time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	
1.009100678869919250e+02 9.300345806491034750e+01 9.766420760779703869e+01 1.002532525376977901e+02 8.797508118562834056e+01 1.043210485718690990e+02 1.031113789068858466e+02 9.038848946190665856e+01 9.846523647490953124e+01
1.009488589353292411e+02 9.384950493520301507e+01 1.008584585660550772e+02 9.418960305339970773e+01 1.109785621215536509e+02 9.860814913450761310e+01 9.565962488072734971e+01 1.070923494908692533e+02 1.005502914101159888e+02
1.006131781441380042e+02 1.222261715402783295e+02 1.076788033956288189e+02 1.071620257201397663e+02 1.118189818786122487e+02 1.016404028749681885e+02 8.372687228729071762e+01 1.027170674414478810e+02 9.063234711208690442e+01
9.424704366021694568e+01 1.190193164251728604e+02 9.742623188042696825e+01 1.049950776532372885e+02 9.608557339436762845e+01 1.139120044484019019e+02 1.089032256925037245e+02 1.069695469713030604e+02 9.120825328307387281e+01
1.014058712150475117e+02 1.171006336906923480e+02 9.693465852461807231e+01 1.107990505017714895e+02 1.024186797933316342e+02 1.045754719501771035e+02 8.534281899718369857e+01 1.011517226558925984e+02 1.036881058239817577e+02
1.009529474185592903e+02 1.116931391831267746e+02 1.066321004263844259e+02 1.207687963126595605e+02 1.116493639321034550e+02 9.115117395918250054e+01 7.898351998207623126e+01 1.096971999062346299e+02 9.421817500234068632e+01
1.032064967424612547e+02 8.634614797973443956e+01 1.002974375211280176e+02 1.014712576896535836e+02 9.197574552740610443e+01 9.603012609806711453e+01 1.058461589331407424e+02 1.026635447425007328e+02 1.009043039301677851e+02
8.553405827415679141e+01 1.191292818416873445e+02 9.417739469440228106e+01 1.040130386347415339e+02 8.338570467461735802e+01 8.747930811914281435e+01 1.038327534515219668e+02 9.970309401027779472e+01 9.624689567961597447e+01
1.093803278577617277e+02 1.100112245879769830e+02 8.854454267916446497e+01 1.123308146493537407e+02 8.638534935159046313e+01 1.120107035356411131e+02 9.476839060470538811e+01 1.023665410266655726e+02 1.091243232373674203e+02
8.330304789054851256e+01 8.776975076853577207e+01 1.095871101745924676e+02 1.137575829074150846e+02 9.975318146754825932e+01 1.098151229411502072e+02 8.565482499282590823e+01 9.555257898886566181e+01 1.091567826158274102e+02
1.276992351702464532e+02 9.246417658109487547e+01 9.219628984871745558e+01 1.007814714374956822e+02 1.037375838114836171e+02 9.135079286711949464e+01 8.520754885721068206e+01 9.825448829539460860e+01 9.736920283756494143e+01
1.119505948028344733e+02 9.155461963159547167e+01 1.096025866344132851e+02 1.202235470191241546e+02 1.051084481889583344e+02 8.412480465352203396e+01 8.003785539588567133e+01 1.063757203315117010e+02 9.808932068554071293e+01
1.021807266188093024e+02 9.776649517410501744e+01 9.527077978862412522e+01 1.117627931726230486e+02 8.944667582996717670e+01 8.867034023990103719e+01 7.722642829400530218e+01 1.083081354077197318e+02 1.070302515031604713e+02
1.164610839678627485e+02 9.558093710352093808e+01 1.009952780237729826e+02 9.381553931215076148e+01 9.209954497831311926e+01 9.068488989117278720e+01 7.724219723817775218e+01 8.642848472834540985e+01 1.139834462152563361e+02
9.607129264244690603e+01 1.107493471650044654e+02 9.639213642934676329e+01 1.087347064717873479e+02 1.127961458915727349e+02 1.160697218009223946e+02 7.621388446492828450e+01 1.030135481766813541e+02 1.039988575609771715e+02
9.993372715694920316e+01 1.100348096705492082e+02 9.952897483637400455e+01 1.089316360984818175e+02 1.162016018016642533e+02 1.180507776837511500e+02 7.424880513157759765e+01 9.668936610913904417e+01 1.043050600363619935e+02
9.377621684989213691e+01 1.135209854507675686e+02 1.036883737032322870e+02 1.249114141307496340e+02 9.495777404889162199e+01 8.104427807556747609e+01 8.083363210313706304e+01 9.350940352789373833e+01 1.124319019762858858e+02
9.844666474873355355e+01 8.956317646525270959e+01 1.010858421888350449e+02 1.211587032656171488e+02 9.871566492406374493e+01 9.434448825399616112e+01 8.282608593414494180e+01 1.028601838630146972e+02 8.748241951073883627e+01
1.056915204350739828e+02 9.879356309469906705e+01 1.044242169705832879e+02 9.511398419388149250e+01 1.093376155347136489e+02 9.438949436567816065e+01 9.615628909537213076e+01 9.045148356210148677e+01 8.654674757259965645e+01
1.034251488159762573e+02 9.377582361775029085e+01 1.014188854347781898e+02 1.045270678443649786e+02 9.138584088568421748e+01 9.338414142814454522e+01 1.178597515856171185e+02 8.576820665819489875e+01 1.080458181071772685e+02
1.098956723994331810e+02 9.641720862126879865e+01 9.122876286046849259e+01 1.075679674118365767e+02 9.421554895532383966e+01 9.388651846525834799e+01 1.160294336286522281e+02 1.007803060626381466e+02 8.761073100522854418e+01
1.103055893883768874e+02 1.090350343835809781e+02 9.465399784088732815e+01 9.262957368428089922e+01 1.031417519176603150e+02 1.085511697723132443e+02 1.112218026418921255e+02 1.016409543912049287e+02 8.845012351378113635e+01
1.065384933439215587e+02 1.039573111390119351e+02 1.025596611638655418e+02 9.877023408548569705e+01 9.749185458617380107e+01 1.025100275689199805e+02 9.554321291697984009e+01 9.558794481890200245e+01 9.091778222986212654e+01
1.036414445304822465e+02 9.241192715000499902e+01 1.007684076840221792e+02 9.914165313771297861e+01 9.059954893039960666e+01 9.518727018431565057e+01 9.201643877783791936e+01 9.408961538062033014e+01 1.068311795302633982e+02
9.872742951649485121e+01 8.682913756210285783e+01 9.503479378173793179e+01 1.164288965798489244e+02 1.099864975920867352e+02 9.768464540275832064e+01 9.889119071948877604e+01 1.096558975534553895e+02 1.026078802781698727e+02
9.360418850537587332e+01 8.198869003655275378e+01 1.037102259206781838e+02 1.179045821097754896e+02 1.146724011244408814e+02 9.710711029066290223e+01 1.062724676732288884e+02 1.087451420107497597e+02 9.772929935425999304e+01
1.042512330459983048e+02 9.853511230715847091e+01 1.011385043714593905e+02 1.052551309880219321e+02 9.175945933083458783e+01 1.019968913098745418e+02 9.766236424056353371e+01 1.001724891203434566e+02 9.670163824471413250e+01
9.241977085295921768e+01 9.935656089711368111e+01 9.977153243726118603e+01 9.879321306480318299e+01 9.254488065412473929e+01 1.032987111945887051e+02 1.189371265305027379e+02 1.011112750161706373e+02 1.117127047937140105e+02
9.392761347167858332e+01 9.951562872883323507e+01 9.687706892045875406e+01 8.044591836874730006e+01 9.898944457119061724e+01 9.635682182038510746e+01 8.790887813576993892e+01 7.809251186258626376e+01 1.200383439918048651e+02
1.094079885578395022e+02 8.527393642931654938e+01 1.013170927107387769e+02 9.922054290429844059e+01 1.065457884087009575e+02 1.025654925591933022e+02 9.101221468054291108e+01 1.049627800822845813e+02 9.808113384785441724e+01
9.903936851410355757e+01 1.080661316734993989e+02 9.701676303807604995e+01 1.053694745862601110e+02 1.127499419471427728e+02 8.941901698635288653e+01 8.350097349012060022e+01 1.041863997986500578e+02 1.024147296014278936e+02
1.035007713529571589e+02 1.048118807763676159e+02 9.119112568080187486e+01 9.844631906632949381e+01 1.045142564423613436e+02 1.012462180990067395e+02 8.941413507203562006e+01 1.161191675690990763e+02 1.012017844908260713e+02
1.035230611034194794e+02 1.107042904157245147e+02 8.725069224096256448e+01 1.045148791566826958e+02 8.650647329081326120e+01 1.074012358396006022e+02 9.199699277374267581e+01 1.007341952896128845e+02 9.288757820924527664e+01
9.947361198902008539e+01 1.111724914453485837e+02 9.143762655018434771e+01 1.161525426851984548e+02 1.108156864312896346e+02 8.664933788900501099e+01 1.143396918716910733e+02 1.068120742496424072e+02 1.012076390945370008e+02
9.767307415650432745e+01 1.078762518393269545e+02 1.102940736370046579e+02 9.090101682935589622e+01 1.036546792160068691e+02 8.830578728027958846e+01 9.825071489320646378e+01 1.017338867276982910e+02 8.995297302911247073e+01
9.269230499246576471e+01 1.144126839930628421e+02 1.192249901364747728e+02 1.038830799593542196e+02 1.046254037447256309e+02 1.072380075567714499e+02 9.417374808739062075e+01 1.002131744733100334e+02 1.026996118997081453e+02
9.457285226233906883e+01 1.086128700053317289e+02 9.424824118928728467e+01 1.014217613482628053e+02 1.073569369210021307e+02 9.078419057155571181e+01 9.903133941338852253e+01 1.117064762098342214e+02 9.910068452322462917e+01
9.101102515264683745e+01 1.021440341976918091e+02 9.276651215245459525e+01 1.034661076791389860e+02 7.625331236695056703e+01 1.014241269138575774e+02 1.067918389655524010e+02 1.109974843292069693e+02 9.559744019088880407e+01
1.061519326639808583e+02 1.047737516962713187e+02 1.039431288370364825e+02 1.011731169328933362e+02 7.459509587424777521e+01 1.162258014574082239e+02 9.472993325726901048e+01 1.096343809842220764e+02 1.078734432238399990e+02
8.776388128578929582e+01 9.336708874418432913e+01 1.035227179671727384e+02 9.703752665693733093e+01 1.116312684045339267e+02 1.182822293616701756e+02 9.225782408850658101e+01 1.006926826098934953e+02 9.107809754640965139e+01
1.075075365681289696e+02 9.632497836714003370e+01 9.843365785999236550e+01 1.102843885809494680e+02 9.182190386872390775e+01 8.683575140826835081e+01 1.109233165102260728e+02 1.028953735248703225e+02 9.582993485564571756e+01
8.833657328060709801e+01 1.080231391887661516e+02 1.122453326918131609e+02 9.602449363924606018e+01 1.076559077753076110e+02 9.507217045195203298e+01 1.240628568499218005e+02 9.847908691892700972e+01 1.072675993984957756e+02
9.219248601772160612e+01 8.729677841039969621e+01 1.060579018156703626e+02 1.016654939659024848e+02 9.309701820316649901e+01 9.951894145044929019e+01 1.168649910900763018e+02 1.120827037816788305e+02 8.422839182351242471e+01
9.903831862513388273e+01 9.113808824071058723e+01 9.831858240050146946e+01 9.797569252663882367e+01 1.037736064925223900e+02 1.053743683284748727e+02 1.137180618609083780e+02 9.924001148128840555e+01 8.375376499994817436e+01
9.487651617466511311e+01 1.044942168237615761e+02 9.922485019128629347e+01 1.006170394991337673e+02 9.774501266607573768e+01 1.073017962149049680e+02 1.055099071018153722e+02 9.884979970118182280e+01 1.037334832906737319e+02
9.475806999965766408e+01 9.710897054241169712e+01 1.054673695357180918e+02 1.167702209746362598e+02 9.293562379463058676e+01 9.929455569881514521e+01 9.656263530350696556e+01 1.035898047234896069e+02 8.461993683610502615e+01
9.663027970908989062e+01 9.656574342400567446e+01 1.073116883053476016e+02 1.306177741534847030e+02 1.083919672127348974e+02 8.776346008303823965e+01 9.453541489107961127e+01 9.559451217889456132e+01 8.243880940872752205e+01
9.713343292450861099e+01 1.066657290272209906e+02 1.007123500709747930e+02 1.151361900699715619e+02 9.584691633206190886e+01 1.037326512917221066e+02 9.972319868923899833e+01 1.018747643655554214e+02 1.137454768620696655e+02
9.175421344216024977e+01 1.158220054212871304e+02 9.403280453956909923e+01 1.125316782261180180e+02 9.642080411478090696e+01 1.074961115349913143e+02 9.530365518223861443e+01 1.024919698004047888e+02 1.116527734132643417e+02
9.169587113487972374e+01 1.035292483099076151e+02 9.285697643577067595e+01 8.082245808072842408e+01 8.746489256414977831e+01 1.046759451738624023e+02 1.011002730929755984e+02 1.024890509132716403e+02 1.079152621852753100e+02
9.620215738684441931e+01 8.782375191052375385e+01 8.509176707258477279e+01 9.234841059819981979e+01 1.166567920870515138e+02 1.001710276464983451e+02 1.143303762197538305e+02 8.431304307897451622e+01 8.494046017576781082e+01
1.058092335526547600e+02 9.047218977658552319e+01 1.189676698991661681e+02 9.142503396393695425e+01 1.031222863662904388e+02 9.703403618963631061e+01 1.158499919462299914e+02 8.124125917686339449e+01 8.332971054151533963e+01
9.183842131204305304e+01 1.181021723798518792e+02 1.145370685527580861e+02 9.425681963356957738e+01 9.865627933458372922e+01 1.040978137221556779e+02 9.240186434920886427e+01 1.126990572549903362e+02 1.117252353629832697e+02
1.042435624342563756e+02 9.566674093093855902e+01 7.758067964818769724e+01 1.100054339339191642e+02 8.595996603839665795e+01 1.066181980672256771e+02 9.185193833227341997e+01 1.082048888051431987e+02 9.114598207081527903e+01
1.120253838336898298e+02 9.500982663152164776e+01 8.314803221184618565e+01 8.961162866862899534e+01 9.676640304819301264e+01 1.161784111223954028e+02 1.018819648592834994e+02 8.976639957123903457e+01 1.080517113444334143e+02
9.461677807557879305e+01 9.834342711584480412e+01 1.178996534152597917e+02 1.043692194754859486e+02 9.768723919421756818e+01 8.331992412093003963e+01 9.633221073941709278e+01 9.100364121769626990e+01 8.921266162909110164e+01
9.466451966414651054e+01 1.066389011767317925e+02 1.008634856008738154e+02 8.812026032831965949e+01 1.016706928814552526e+02 7.824621927886424544e+01 1.068874820153469614e+02 1.027454412192648050e+02 1.152111285720279454e+02
1.064011510685878648e+02 1.070146701086754604e+02 9.410138441768910411e+01 7.242676747802401849e+01 1.038450506391248211e+02 1.006156596016637081e+02 9.376322156521001716e+01 9.956821716670279443e+01 9.962906476039039205e+01
1.026673844246454905e+02 1.011101993889183177e+02 9.672242261816312237e+01 8.459325535680707731e+01 1.019187187728887807e+02 9.351163910067833740e+01 9.408952021762610229e+01 1.014455039327872612e+02 9.325421812264036703e+01
9.021478666940913627e+01 1.078636213910687758e+02 1.096874601143687471e+02 9.750008450101128687e+01 9.287342222491217569e+01 1.181712755853815793e+02 9.695267905602297276e+01 1.037673049981362396e+02 9.613717561895265362e+01
9.878840730716078156e+01 1.058104152970738880e+02 1.044583935754294970e+02 9.871684683731774612e+01 1.009275163653156824e+02 1.194816944258400895e+02 1.038745687153737123e+02 8.804956712171718891e+01 1.077866653037234670e+02
1.090802265382598648e+02 9.944233015710442203e+01 1.176478067540533914e+02 8.716759277489143187e+01 1.000264560431474763e+02 1.020012747201440675e+02 1.004685907778192586e+02 1.005086539590867716e+02 9.677418479308370536e+01
9.031117564081371540e+01 9.583366260878365495e+01 1.145209448794491323e+02 9.919748292154351077e+01 9.618403854313555712e+01 9.833185853717546365e+01 9.094656352814511990e+01 1.060294035651152171e+02 9.736372723095865922e+01
1.028440225284557243e+02 9.526086248867979123e+01 8.227634853849534124e+01 1.026349928848267865e+02 1.137227665609086813e+02 8.945851033376906969e+01 1.046687448065054014e+02 9.070834957631835493e+01 9.838331201444574958e+01
9.494733463314786093e+01 9.701631810752012086e+01 9.459275984777377744e+01 1.013354571546861820e+02 1.121784876013543908e+02 1.061368120171984515e+02 8.807213177040497953e+01 1.072074136929165462e+02 9.732596997289620333e+01
1.072591074633164112e+02 9.921323586712554743e+01 8.642604147346492027e+01 1.006952023114907320e+02 9.114412480213533740e+01 8.628104464192125533e+01 9.253466527653569074e+01 9.492030310715266239e+01 1.032699163337354236e+02
9.241860525149390071e+01 1.285454798367283047e+02 8.220973987127641180e+01 1.152432472809056634e+02 9.151928772182210992e+01 8.528135398957633129e+01 1.029152479718573545e+02 9.945125322570343940e+01 9.898829624174037178e+01
1.001080504280879353e+02 1.110540480204555109e+02 7.986638447712081756e+01 1.055696443928423918e+02 9.613677341939711596e+01 9.841965332664419464e+01 1.182081580061506259e+02 1.002065291704957559e+02 9.593111994746622884e+01
1.024891222082839590e+02 9.740645330318497486e+01 1.002016080037882944e+02 9.397766633657640512e+01 9.942907970899928216e+01 1.060458147572375083e+02 9.994017784277282601e+01 9.409616918106222272e+01 1.188488428276568243e+02
9.066921219006728450e+01 8.539993494061691592e+01 1.109212952115429829e+02 9.948187082361043565e+01 8.705474423173214404e+01 9.760078387559906332e+01 1.091633216459322000e+02 1.014618735300101804e+02 1.180200574686806618e+02
1.002528172050336082e+02 8.666391647627989414e+01 1.152286194146809919e+02 9.709180960731954713e+01 9.339586332822121051e+01 1.064219370956519839e+02 1.113230234465734583e+02 1.068443356229664971e+02 1.411750540919794616e+02
9.718343857516887851e+01 1.122227816444257513e+02 1.133580403454082557e+02 9.182220869408845942e+01 7.755880977528204312e+01 1.021876885769654137e+02 8.964462800902506956e+01 1.004785245545441654e+02 1.411571298785672184e+02
8.319827724481646669e+01 1.027879678793053699e+02 1.081886482181570841e+02 9.669653037153122455e+01 8.308828346571239365e+01 7.901538238883634335e+01 9.167314351724157007e+01 9.121116590583824291e+01 1.168705763899325234e+02
7.324066319766511413e+01 1.175534123019983639e+02 8.396435413610552700e+01 1.040006493429374501e+02 9.271839116263740266e+01 8.249924428421809353e+01 1.067533071899944446e+02 1.092468550072709945e+02 7.834203607810579228e+01
6.823237791047554879e+01 8.696929999200054340e+01 1.008457451979900554e+02 9.192412306035863878e+01 8.856653702795863126e+01 1.017362343407691014e+02 1.096378563566304223e+02 1.162863578340312074e+02 9.873151999050615757e+01
7.115269287980400748e+01 1.054434776958730282e+02 1.103757045348412760e+02 1.050077669944329983e+02 8.775225990059742287e+01 1.026122329919515721e+02 9.306103000833584815e+01 1.189734954905967896e+02 9.852382793032181496e+01
9.409498222143628254e+01 9.498708987654167402e+01 1.080976724971615539e+02 1.024681144762892444e+02 7.943091685499871346e+01 9.349933761904070195e+01 9.343838770303118224e+01 1.231867500347706113e+02 9.462199620659875166e+01
9.099671673799484495e+01 1.015706928026715161e+02 8.492672895201936001e+01 8.213107150110639054e+01 1.020518323033693093e+02 1.028198563998433741e+02 1.102244850021950668e+02 8.630578990148624996e+01 9.449815721552691627e+01
1.050093955931910443e+02 9.099036878308891119e+01 9.250227752172993689e+01 8.007908151871595237e+01 9.406093842140575134e+01 9.438638123178898809e+01 1.033454364031652091e+02 8.286346650120270851e+01 7.679589157838938718e+01
